  t, c   	 X0[0]  	 X0[1]  	 X0[2]  	 X0[3]  	 X0[4]  	 X0[5]  	 X0[6]  	 X0[7]  	 X0[8]  	 X0[9]  	 X0[10]  	 X0[11]  	 V[0]   	 V[1]   	 V[2]   	 Om[0]  	 Om[1]  	 Om[2]  	 Vc[0]  	 Vc[1]  	 Vc[2]  	 Amp[0][0] 	 Amp[0][1] 	 Amp[0][2] 	 Amp[1][0] 	 Amp[1][1] 	 Amp[1][2] 	 Amp[2][0] 	 Amp[2][1] 	 Amp[2][2] 	 Amp[3][0] 	 Amp[3][1] 	 Amp[3][2] 	 Amp[4][0] 	 Amp[4][1] 	 Amp[4][2] 	 Amp[5][0] 	 Amp[5][1] 	 Amp[5][2] 	teta,град	psi, град	fi, град 
0,110000	2,705881	297,600513	0,000513	1,000000	0,000028	-0,000001	-0,000028	1,000000	0,000001	0,000001	-0,000001	1,000000	27,766871	0,008979	0,008145	-0,000033	-0,000020	-0,002599	27,766811	0,008128	0,008105	-0,013100	0,007434	0,008185	-0,013112	0,007454	0,008185	-0,013125	0,007475	0,008185	-0,013213	0,007623	0,008185	-0,013226	0,007644	0,008185	-0,013238	0,007664	0,008185	-0,001631	-0,000041	-0,000048
0,115000	2,844717	297,600556	0,000555	1,000000	0,000041	-0,000001	-0,000041	1,000000	0,000001	0,000001	-0,000001	1,000000	27,767732	0,010204	0,009004	-0,000033	-0,000021	-0,002604	27,767630	0,008949	0,008923	-0,012239	0,008658	0,009044	-0,012251	0,008678	0,009044	-0,012265	0,008699	0,009044	-0,012357	0,008844	0,009044	-0,012370	0,008865	0,009044	-0,012382	0,008885	0,009044	-0,002376	-0,000047	-0,000058
0,120000	2,983558	297,600604	0,000603	1,000000	0,000055	-0,000001	-0,000055	1,000000	0,000001	0,000001	-0,000001	1,000000	27,758542	0,011698	0,010120	-0,000031	-0,000021	-0,004048	27,768147	0,010057	0,010030	-0,022686	0,009364	0,010158	-0,022698	0,009383	0,010158	-0,022712	0,009403	0,010158	-0,022804	0,009539	0,010158	-0,022817	0,009559	0,010158	-0,022830	0,009578	0,010158	-0,003127	-0,000053	-0,000067
0,125000	3,122314	297,600658	0,000657	1,000000	0,000080	-0,000001	-0,000080	1,000000	0,000001	0,000001	-0,000001	1,000000	27,750932	0,013576	0,011270	-0,000029	-0,000021	-0,005155	27,750823	0,011240	0,011189	-0,031257	0,010641	0,011307	-0,031270	0,010658	0,011307	-0,031284	0,010677	0,011307	-0,031377	0,010805	0,011307	-0,031391	0,010824	0,011307	-0,031404	0,010841	0,011307	-0,004596	-0,000059	-0,000075
0,130000	3,261071	297,600717	0,000716	1,000000	0,000106	-0,000001	-0,000106	1,000000	0,000001	0,000001	-0,000001	1,000000	27,751806	0,015170	0,012142	-0,000027	-0,000022	-0,005158	27,751739	0,012160	0,012105	-0,030383	0,012239	0,012178	-0,030396	0,012256	0,012178	-0,030410	0,012273	0,012178	-0,030507	0,012394	0,012178	-0,030521	0,012411	0,012178	-0,030535	0,012427	0,012178	-0,006074	-0,000065	-0,000083
0,135000	3,399831	297,600779	0,000778	1,000000	0,000132	-0,000001	-0,000132	1,000000	0,000002	0,000001	-0,000002	1,000000	27,752235	0,016319	0,012568	-0,000027	-0,000023	-0,005160	27,752216	0,012639	0,012581	-0,029952	0,013388	0,012604	-0,029966	0,013404	0,012604	-0,029981	0,013421	0,012604	-0,030083	0,013540	0,012604	-0,030098	0,013557	0,012604	-0,030112	0,013573	0,012604	-0,007552	-0,000071	-0,000091
0,140000	3,538592	297,600843	0,000841	1,000000	0,000158	-0,000001	-0,000158	1,000000	0,000002	0,000001	-0,000002	1,000000	27,741808	0,016932	0,012447	-0,000028	-0,000025	-0,006599	27,751565	0,012582	0,012519	-0,041626	0,013205	0,012485	-0,041641	0,013222	0,012485	-0,041657	0,013240	0,012485	-0,041765	0,013365	0,012485	-0,041781	0,013383	0,012485	-0,041796	0,013400	0,012485	-0,009035	-0,000078	-0,000099
0,145000	3,677260	297,600904	0,000902	1,000000	0,000196	-0,000001	-0,000196	1,000000	0,000002	0,000001	-0,000002	1,000000	27,732513	0,017481	0,011912	-0,000031	-0,000027	-0,007699	27,732581	0,012108	0,012019	-0,051871	0,013139	0,011954	-0,051887	0,013157	0,011954	-0,051904	0,013177	0,011954	-0,052021	0,013316	0,011954	-0,052038	0,013336	0,011954	-0,052054	0,013355	0,011954	-0,011233	-0,000085	-0,000108
0,150000	3,815920	297,600963	0,000960	1,000000	0,000235	-0,000002	-0,000235	1,000000	0,000002	0,000002	-0,000002	1,000000	27,731756	0,017798	0,011151	-0,000034	-0,000029	-0,007696	27,731838	0,011371	0,011275	-0,052618	0,013447	0,011197	-0,052635	0,013468	0,011197	-0,052654	0,013489	0,011197	-0,052781	0,013641	0,011197	-0,052799	0,013663	0,011197	-0,052816	0,013683	0,011197	-0,013438	-0,000093	-0,000117
0,155000	3,954577	297,601017	0,001014	1,000000	0,000273	-0,000002	-0,000273	1,000000	0,000002	0,000002	-0,000002	1,000000	27,731086	0,018201	0,010477	-0,000036	-0,000031	-0,007693	27,731145	0,010685	0,010582	-0,053279	0,013845	0,010526	-0,053297	0,013867	0,010526	-0,053317	0,013890	0,010526	-0,053453	0,014051	0,010526	-0,053472	0,014074	0,010526	-0,053491	0,014096	0,010526	-0,015643	-0,000102	-0,000127
0,160000	4,093231	297,601069	0,001066	1,000000	0,000312	-0,000002	-0,000312	1,000000	0,000002	0,000002	-0,000002	1,000000	27,720395	0,018904	0,010092	-0,000037	-0,000032	-0,009130	27,730141	0,010278	0,010167	-0,065215	0,013756	0,010142	-0,065234	0,013778	0,010142	-0,065255	0,013801	0,010142	-0,065397	0,013965	0,010142	-0,065417	0,013988	0,010142	-0,065436	0,014010	0,010142	-0,017851	-0,000111	-0,000138
0,165000	4,231793	297,601121	0,001117	1,000000	0,000363	-0,000002	-0,000363	1,000000	0,000003	0,000002	-0,000003	1,000000	27,711694	0,020401	0,010151	-0,000036	-0,000033	-0,010230	27,711673	0,010326	0,010183	-0,074870	0,014651	0,010200	-0,074889	0,014673	0,010200	-0,074911	0,014696	0,010200	-0,075057	0,014853	0,010200	-0,075078	0,014876	0,010200	-0,075098	0,014897	0,010200	-0,020774	-0,000120	-0,000148
0,170000	4,370353	297,601173	0,001169	1,000000	0,000414	-0,000002	-0,000414	1,000000	0,000003	0,000002	-0,000003	1,000000	27,712126	0,022261	0,010579	-0,000032	-0,000034	-0,010230	27,712078	0,010740	0,010587	-0,074436	0,016524	0,010625	-0,074456	0,016544	0,010625	-0,074477	0,016564	0,010625	-0,074626	0,016705	0,010625	-0,074648	0,016725	0,010625	-0,074668	0,016744	0,010625	-0,023705	-0,000130	-0,000158
0,175000	4,508915	297,601229	0,001223	1,000000	0,000465	-0,000002	-0,000465	1,000000	0,000003	0,000002	-0,000003	1,000000	27,712780	0,024343	0,011229	-0,000027	-0,000034	-0,010230	27,712720	0,011390	0,011228	-0,073781	0,018624	0,011271	-0,073801	0,018640	0,011271	-0,073823	0,018657	0,011271	-0,073972	0,018775	0,011271	-0,073994	0,018792	0,011271	-0,074014	0,018808	0,011271	-0,026636	-0,000140	-0,000166
0,180000	4,647480	297,601288	0,001281	1,000000	0,000516	-0,000003	-0,000516	1,000000	0,000003	0,000003	-0,000003	1,000000	27,703045	0,026355	0,011799	-0,000022	-0,000034	-0,011669	27,712728	0,011997	0,011825	-0,084767	0,019862	0,011836	-0,084788	0,019875	0,011836	-0,084810	0,019889	0,011836	-0,084960	0,019985	0,011836	-0,084982	0,019998	0,011836	-0,085003	0,020011	0,011836	-0,029571	-0,000149	-0,000173
